Phi[deg],Theta[deg],rETotal[mV]
122,14,4762.71
124,14,4806.68
126,14,4852.13
128,14,4898.84
130,14,4946.62
132,14,4995.23
134,14,5044.44
136,14,5094.03
138,14,5143.74
140,14,5193.33
142,14,5242.56
144,14,5291.17
146,14,5338.91
148,14,5385.54
150,14,5430.8
152,14,5474.46
154,14,5516.27
156,14,5556.02
158,14,5593.48
160,14,5628.43
162,14,5660.7
164,14,5690.09
166,14,5716.43
168,14,5739.57
170,14,5759.39
172,14,5775.76
174,14,5788.59
176,14,5797.81
178,14,5803.35
180,14,5805.19
-180,16,5801.17
-178,16,5798.77
-176,16,5791.56
-174,16,5779.59
-172,16,5762.93
-170,16,5741.68
-168,16,5715.98
-166,16,5685.97
-164,16,5651.84
-162,16,5613.79
